81521716602.69897,-4848086646.370151,66334225697.06324,1528316672123.7854,274405879676.14084,231077491564.67645,3866098690022.912
56067014267.36136,5297666455.573211,61905080374.202835,788103516117.2141,625029155862.2522,-53627943879.81446,551347472472.9778
67949351699.92051,1365290605.4211745,65898774348.60313,-280720998848.4648,-245789063090.31967,-271927495526.21014,359101015932.3948
72757736420.09236,13481550431.055376,75651818878.70233,-874459825943.3588,177807134187.51077,636742750666.6506,2628085785974.022
68406618241.360695,351221700.9784996,73139802611.79703,225132976479.60037,240594761991.97446,146784382341.18152,3996983241176.0264
52563530834.499214,-8155639379.660172,47834019169.217026,-652382037464.2356,-29798093147.853508,491490111730.19196,-1052509847102.5226
73839274234.14618,-191744316.05205032,73157568197.20354,-986718738924.3513,165450191829.23294,-147148517921.99664,2280821362371.324
65809188622.02317,-255092241.36267033,75428960851.83824,-1318127848087.5742,473438412440.6712,-87500159145.1883,2541178116011.685
94168161433.74147,3568259218.2585325,96372840169.97682,-798386618205.6387,106352703356.69702,-130603658897.07828,3496579300769.021
57125168088.78616,2400554134.499077,61368331781.5956,-137358311859.71841,661239199790.6023,-167620862412.3313,3459730515998.536
57199020373.305824,1294227625.027235,54164587093.152596,802856786085.7139,4986848617.034651,609902957181.3027,357118192623.6028
